CONTEXT,ID,TEXT
ForgeryFlyerInnerFront,NEED FORGED<br>OBRISTAN DOCS?,위조된 오브리스탄<br>문서를 원합니까?
ForgeryFlyerInnerFront,"""It looks so real!""","""진짜인 줄 알았다니까요!"""
ForgeryFlyerInnerFront,"""Approved for entry!""","""입국 허가를 받았어요!"""
ForgeryFlyerInnerFront,Fair rates!,적당한 가격!
ForgeryFlyerInnerFront,No questions asked!,잔말이 필요 없습니다!
ForgeryFlyerInnerFront,Fast turnaround!,빠른 처리!
ForgeryFlyerInnerFront,CONDITIONS ON BACK,가격표는 뒤쪽에
ForgeryFlyerInnerBack,PRICING (EACH),가격 (인당)
ForgeryFlyerInnerBack,Passport *,여권*
ForgeryFlyerInnerBack,Entry Ticket,입국 표
ForgeryFlyerInnerBack,*<br>,*<br>
ForgeryFlyerInnerBack,Client must provide existing Obristan passport to be modified with new info,"고객님의 정보로 수정하려면, 기존 오브리스탄 여권을 가져오셔야 합니다"
ForgeryFlyerInnerBack,Service at border Arstotzka/Obristan,아스토츠카/오브리스탄 국경에서 활동중
ForgeryFlyerInnerBack,Ask for Timofei Wee,티모피 위에게 문의 바람
GymFlyerInner,Underweight?Weak?Tired?,체중감량? 허약체질? 피곤한 하루?
GymFlyerInner,JOIN BEST GYM!,최고의 체육관으로 오세요!
GymFlyerInner,GET BIG TOWN,몸짱 마을
GymFlyerInner,East Grestin,동 그레스틴
HintMissingInner,THIS ENTRANT HAS NO DOCUMENTS,입국자가 서류를 미제출했습니다.
HintMissingInner,"To proceed, use INSPECT mode to interrogate.",심문 모드를 통해 취조하십시오.
HintMissingInner,Review page 2 of today's bulletin for full instructions.,오늘 배부된 소식지 2페이지를 다시보면 설명이 자세히 있을겁니다.
IdCardInner,ARSTOTZKA IDENTITY CARD,아스토츠카 신분증
IdCardInner,DOB,생년
IdCardInner,HT.,신장
IdCardInner,WT.,체중
IdentityRecordInner,M.O.A. IDENTITY RECORD,관리성 신분 기록
IdentityRecordInner,NAME:,이름:
IdentityRecordInner,ALIAS:,가명:
IdentityRecordInner,Applicant's fingerprints and claimed name/alias must match this record.,입국자의 지문과 문제되는 이름/가명이 이 기록과 일치해야만 합니다.
IdSupplementInner,IDENTITY<br>SUPPLEMENT,신분<br>보충 증명표
IdSupplementInner,HT,신장
IdSupplementInner,WT,체중
IdSupplementInner,DESCRIPTION,기타 설명
IdSupplementInner,THUMB,엄지
IdSupplementInner,Keep on person,반드시 소지할 것
IdSupplementInner,EXP.,만료
LocketInnerOpen,To Sergiu from your Elisa,당신의 Elisa가 Sergiu에게
LocketInnerOpen,I Love You Always,당신을 항상 사랑했어요
LoveSongInner1,YOU,당신
LoveSongInner1,YOU ARE HOT LIKE FIRE,불처럼 따뜻한 당신
LoveSongInner2,you,당신은
LoveSongInner2,OBJECT OF DESIRE,욕망의 화신이죠
LoveSongInner3,YOU<br>(AGAIN),당신<br>(다시한번)
LoveSongInner3,WRAP MY HEART IN WIRE,내 심장을 조여매는 당신
LoveSongInner4,ApPROVED,입국 허가
LoveSongInner4,APPROVE MY VISA,비자에 허가 도장을 찍어주세요
tweak-passport-field-padding-left,2px,2px
PassportInnerAntegria,ENTRY VISA,입국 비자
PassportInnerAntegria,DOB.,생년
PassportInnerAntegria,SEX,성별
PassportInnerAntegria,ISS.,도시
PassportInnerAntegria,EXP.,만료
PassportInnerAntegria,ANTEGRIA,안테그리아
tweak-passport-arstotzka-nation,16px,16px
PassportInnerArstotzka,ENTRY VISA,입국 비자
PassportInnerArstotzka,DOB.,생년
PassportInnerArstotzka,SEX,성별
PassportInnerArstotzka,ISS.,도시
PassportInnerArstotzka,EXP.,만료
PassportInnerArstotzka,ARSTOTZKA,아스토츠카
PassportInnerImpor,ENTRY VISA,입국 비자
PassportInnerImpor,DOB.,생년
PassportInnerImpor,SEX,성별
PassportInnerImpor,ISS.,도시
PassportInnerImpor,EXP.,만료
PassportInnerImpor,IMPOR,임포르
PassportInnerKolechia,ENTRY VISA,입국 비자
PassportInnerKolechia,DOB.,생년
PassportInnerKolechia,SEX,성별
PassportInnerKolechia,ISS.,도시
PassportInnerKolechia,EXP.,만료
PassportInnerKolechia,KOLECHIA,콜레치아
PassportInnerObristan,ENTRY VISA,입국 비자
PassportInnerObristan,DOB.,생년
PassportInnerObristan,SEX,성별
PassportInnerObristan,ISS.,도시
PassportInnerObristan,EXP.,만료
PassportInnerObristan,OBRISTAN,오브리스탄
PassportInnerRepublia,ENTRY VISA,입국 비자
PassportInnerRepublia,DOB.,생년
PassportInnerRepublia,SEX,성별
PassportInnerRepublia,ISS.,도시
PassportInnerRepublia,EXP.,만료
PassportInnerRepublia,REPUBLIA,리퍼블리아
PassportInnerUnitedFed,ENTRY VISA,입국 비자
PassportInnerUnitedFed,DOB.,생년
PassportInnerUnitedFed,SEX,성별
PassportInnerUnitedFed,ISS.,도시
PassportInnerUnitedFed,EXP.,만료
PassportInnerUnitedFed,UNITED FEDERATION,연합 연방국
PlaqueOneInner,Ministry of Admission,국경 관리성
PlaqueOneInner,RECOGNITION,공로패
PlaqueOneInner,FOR,공로
PlaqueOneInner,HANG ON WALL,벽걸이용
PlaqueTwoInner,Ministry of Admission,국경 관리성
PlaqueTwoInner,RECOGNITION,공로패
PlaqueTwoInner,FOR,공로
PlaqueTwoInner,HANG ON WALL,벽걸이용
PoisonInnerBack,OPEN,열기
PoisonInnerOpen1,DO NOT TOUCH POWDER,가루를 건들지 마시오
PoisonInnerOpen1,CLOSE,닫기
PoisonInnerOpen2,ALIGN POWDER OVER PASSPORT,가루를 여권 위에 올리시오
PoisonInnerOpen2,PUSH HARD TO AFFIX,달라붙도록 꽉 누르시오
PoisonInnerOpen2,CLOSE,닫기
PoliceBadgeInner,MINISTRY OF INFORMATION,국가 정보성
PoliceBadgeInner,Office of Investigation,산하 취조실
PoliceBadgeInner,East Grestin Division,동 그레스틴 부문
PoliceBadgeInner,Special Investigator,특별 취조관
PoliceBadgeInner,MOI,정보성
PressPassInner,INTERNATIONAL,국제
PressPassInner,PRESS,언론사
PressPassInner,IDENTIFICATION,신분증
RuleDiploAccess,AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA,반드시 아스토츠카로의<br>입국을 허가받아야함
RuleIssuingCity,PASSPORT <span>ISS.</span> FIELD MUST BE VALID,여권의 <span>도시</span> 부분은 반드시 유효해야함
RuleSealRequired,DOCUMENT MUST<br>HAVE A SEAL,문서는 반드시<br>인장이 있어야함
RulesInnerHome,Arstotzkan,아스토츠카인
RulesInnerHome,Ministry<span>of</span>Admission,국가<span>국경</span>관리성
RulesInnerHome,RULES,규정
RulesInnerHome,&amp;,&amp;
RulesInnerHome,REGULATIONS,법령
RulesInnerHome,for Inspectors,검문관용
RulesInnerHome,CONTENTS,목차
RulesInnerHome,PROPERTY OF,다음 부서의 자산임
RulesInnerHome,M.O.A,국경 관리성
RulesInnerBasic,RULES,규정
RulesInnerRegion,DIPLOMATIC SEALS,외교 인장
RulesInnerRegion,PASSPORT,여권
RulesInnerRegion,ISSUING CITIES,발급 도시
RulesInnerRegionArstotzka,DISTRICTS,도시 구획
RulesInnerRegionArstotzka,PASSPORT,여권
RulesInnerRegionArstotzka,ISSUING CITIES,발급 도시
RulesInnerBooth,INSPECTOR'S BOOTH,검문관 검문소
RulesInnerBooth,Shutter,셔터
RulesInnerBooth,Counter,선반
RulesInnerBooth,Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date,규정집<br>녹취록.<br>소식지<br>시간 &amp; 날짜
RulesInnerBooth,UPGRADES,시설 개선
RulesInnerBooth,NO UPGRADES<br>INSTALLED,개선 시설이<br>설치되지 않음
RulesInnerDocs,OFFICIALLY RECOGNIZED,공식적으로 인정된
RulesInnerDocs,DOCUMENTS,문서들
RulesInnerDocs,CONTENTS,목차
RulesInnerEntryPermit,ENTRY PERMIT,입국 허가서
RulesInnerEntryPermit,VALID SEALS,유효한 인장들
RulesInnerIdCard,ARSTOTZKAN<br>ID CARD,아스토츠카인<br>신분증
RulesInnerIdCard,ISSUED TO ALL ARSTOTZKAN CITIZENS,아스토츠카 국민들에게 발급됨
RulesInnerIdCard,DISTRICTS,도시 구획
RulesInnerIdSupplement,IDENTITY<br>SUPPLEMENT,신분<br>보충 증명표
RulesInnerIdSupplement,ISSUED TO ALL QUALIFIED FOREIGNERS,모든 자격있는 외국인들에게 발급됨
RulesInnerIdSupplement,FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE,입국자의 외모를 확인하는 용도
RulesInnerIdSupplement,VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE,"지문 기록을 열람할 경우, 엄지 지문을 확인함"
RulesInnerIdSupplement,THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY,간략한 발급 문서임 - 만기일을 반드시 확인할 것
RulesInnerAccessPermit,ACCESS PERMIT,입경 허가서
RulesInnerAccessPermit,VALID SEALS,유효한 인장
RulesInnerAccessPermit,THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT,이 문서를 입국 허가서와 신분 보충 증명표로 대체함
RulesInnerWorkPermit,WORK PASS,노동 허가서
RulesInnerWorkPermit,ISSUED TO ALL QUALIFIED FOREIGN LABOR,모든 자격있는 외국 노동자들에게 발급됨
RulesInnerWorkPermit,VALID SEALS,유효한 인장
RulesInnerDiplomaticAuth,DIPLOMATIC,외교
RulesInnerDiplomaticAuth,AUTHORIZATION,인증서
RulesInnerDiplomaticAuth,VALIDATE SEAL WITH COUNTRY PAGE,각 국가 페이지에서 인장 확인
RulesInnerAsylumGrant,GRANT OF<br>ASYLUM,망명<br>허가서
RulesInnerAsylumGrant,VALID SEALS,유효한 인장
RulesInnerAsylumGrant,ALWAYS VERIFY FINGERPRINTS,항상 지문을 확인할 것
RulesInnerVaccineCert,VACCINE CERTIFICATE,예방접종 증명서
RulesInnerVaccineCert,MINISTRY,국가
RulesInnerVaccineCert,OF,*
RulesInnerVaccineCert,HEALTH,건강성
RulesInnerVaccineCert,REGULATION DOCUMENT,규제 문서
RulesInnerVaccineCert,POLIO VACCINATION REQUIRED FOR ALL ENTRANTS,입국자들은 반드시 소아마비 예방 접종을 받아야함
RulesInnerVaccineCert,NO EXCEPTIONS,예외 없음
RulesInnerConfiscation,PASSPORT CONFISCATION,여권 압수
RulesInnerConfiscation,DROP PASSPORT IN CONFISCATION DRAWER,여권을 압수 서랍에 넣으십시오
RulesInnerConfiscation,POLICY,정책
RulesInnerConfiscation,PASSPORT MUST BE CONFISCATED BEFORE DETAINING,구금하기 전에 여권을 압수해야 합니다
RulesInnerConfiscation,MOI,국가 정보성
RulesInnerLast,PROPERTY OF,다음 부서의 자산임
RulesInnerLast,M.O.A.,관리성
RulesInnerLast,GLORY TO ARSTOTZKA,아스토츠카에 영광을
RulesInnerLast,Arstotzkan,아스토츠카인
RulesInnerLast,Ministry of Admission,국경 관리성
RulesInnerLast,Rules &amp; Regulations,규정 &amp; 법령
RulesInnerLast,for Inspectors,검문관 용
RulesInnerLast,1982-1983 Edition,1982-1983 판
RulesInnerLast,DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY,"무단 배포 시, 엄벌에<br>처할 수 있습니다"
RulesTabConfL,CONF.,목차
RulesTabConfR,CONF.,목차
RulesTabDocsL,DOCS,문서
RulesTabDocsR,DOCS,문서
RulesTabMapL,MAP,지도
RulesTabMapR,MAP,지도
RulesTabRulesL,RULES,규정
RulesTabRulesR,RULES,규정
RulesUpgrade0,TOGGLE INSPECT,심문 열기
RulesUpgrade0,SPACE,SPACE
RulesUpgrade1,TOGGLE STAMP BAR,도장 열기
RulesUpgrade1,TAB,TAB
RulesUpgrade2,RULEBOOK SHORTCUTS,규정집 책갈피
RulesUpgrade3,QUICK INSPECT,빠른 심문
RulesUpgrade3,DOUBLE-CLICK,더블 클릭
SeizureSlipInner,Arstotzka Ministry of Admission,아스토츠카 국경 관리성
SeizureSlipInner,PASSPORT SEIZURE SLIP,여권 압수 임시 표
SeizureSlipInner,ENTRY VISA,입국 비자
SeizureSlipInner,Your passport has been seized.,당신의 여권을 압수했습니다.
SeizureSlipInner,Contact 1509-6103 for redress.,1509-6103 로 연락하여 조치하십시오.
SpyDocsInnerBack,Mating Habits of Lesser Kolechian Waterfowl,작은 콜레치아 물새의 짝짓기 습관
SpyDocsInnerBack,A FULL REPORT,상세 보고
SpyDocsInnerBack,Ministry of Information,정보성
TranscriptInner,AUDIO TRANSCRIPT,녹취록
VaccineCertInner,Certificate<span>of</span>Vaccination,예방 접종<span> </span>증명서
VaccineCertInner,ID#,등록번호
VaccineCertInner,DATE,날짜
VaccineCertInner,VACCINE,백신
VaccineCertInner,Vax valid for 3 years,접종은 3년 동안만 유효함
VisaSlipInner,TEMPORARY VISA SLIP,임시 비자표
VisaSlipInner,ENTRY VISA,입국 비자
VisaSlipInner,TO BE USED FOR DENIALS ONLY,입국 불허에만 사용하십시오
WorkPermitInner,Ministry of Labor,노동성
WorkPermitInner,Work Pass,노동 허가서
WorkPermitInner,This pass grants its holder the right to work in a specific field for a limited time.,이 허가서는 특정 분야에서 제한된 시간동안 일할 수 있는 권리를 부여합니다.
WorkPermitInner,HOLDER,요청자
WorkPermitInner,FIELD,부문
WorkPermitInner,UNTIL,기한
WorkPermitInner,Keep this pass with you at all times.,이 허가서를 항상 소지하십시오.
EndNews,Kolechian Consensus Reached Over Grestin,콜레치아와의 협정서가 그레스틴으로 전해지다
ApartmentClass,CLASS,등급
DetainButton,DETAIN,구금
FingerprintButton,FINGERPRINT,지문 감식
SearchButton,SEARCH,몸 수색
EmblemsMOA,M.O.A,관리성
EmblemsMOA,M.O.L,노동성
EmblemsMOL,M.O.L,노동성
Filer,CONFISCATED DOCUMENTS,압수된 문서
Filer,PROPERTY OF,다음 부서의 재산
Filer,M.O.A.,관리성
GiveIcon,GIVE,주기
LoadButtonNew,NEW,신규
LoadDay,DAY,일자
LoadDrag,DRAG TO SCROLL,화면을 끌어내리고 올리기
News,The Truth of Arstotzka,아스토츠카의 진실
News,No Charge,무료
ReasonButton,REASON,불가 사유
RifleKill,KILL,사살용
RifleTranq,TRANQ,마취용
StampBarMid,ALIGN VISA BENEATH STAMP,비자를 도장 아래에 두십시오
Upgrades,SPACE,SPACE
Upgrades,TAB,TAB
image:ArskickersInner.png,capture/ArskickersInner.png,http://yooing.dothome.co.kr/images/ArskickersInner.png
ArskickersInner,HANG ON WALL,벽걸이용
image:BrothelFlyerInner.png,capture/BrothelFlyerInner.png,http://yooing.dothome.co.kr/images/BrothelFlyerInner.png
BrothelFlyerInner,East Grestin,동 그레스틴
BrothelFlyerInner,FOR ALL YOUR FANTASIES,당신의 꿈을 이루세요
image:PezpertInner.png,capture/PezpertInner.png,http://yooing.dothome.co.kr/images/PezpertInner.png
PezpertInner,STAMP HERE,여기에 찍어요
image:SonDrawingInner.png,capture/SonDrawingInner.png,http://yooing.dothome.co.kr/images/SonDrawingInner.png
SonDrawingInner,hanG on wAll,벽걸이용
image:SonDrawingOuter.png,capture/SonDrawingOuter.png,http://yooing.dothome.co.kr/images/SonDrawingOuter.png
image:SonDrawingMount.png,capture/SonDrawingMount.png,http://yooing.dothome.co.kr/images/SonDrawingMount.png
image:VictimPhotoInnerBack.png,capture/VictimPhotoInnerBack.png,http://yooing.dothome.co.kr/images/VictimPhotoInnerBack.png
image:Emotions.png,export/Emotions.png,http://yooing.dothome.co.kr/images/Emotions.png
image:LoadButtonLatest.png,export/LoadButtonLatest.png,export/LoadButtonLatest.png
image:InkApproved.png,export/InkApproved.png,http://yooing.dothome.co.kr/images/InkApproved.png
image:InkDenied.png,export/InkDenied.png,http://yooing.dothome.co.kr/images/InkDenied.png
image:StampBotApproved.png,export/StampBotApproved.png,http://yooing.dothome.co.kr/images/StampBotApproved.png
image:StampBotDenied.png,export/StampBotDenied.png,http://yooing.dothome.co.kr/images/StampBotDenied.png
image:ReasonStampTop.png,export/ReasonStampTop.png,http://yooing.dothome.co.kr/images/ReasonStampTop.png
image:InkReason.png,export/InkReason.png,http://yooing.dothome.co.kr/images/InkReason.png
image:Arstotzka.png,export/Arstotzka.png,http://yooing.dothome.co.kr/images/Arstotzka.png
image:Intro1.png,export/Intro1.png,http://yooing.dothome.co.kr/images/Intro1.png
image:Obrinspector.png,export/Obrinspector.png,http://yooing.dothome.co.kr/images/Obrinspector.png
image:Shutter.png,export/Shutter.png,http://yooing.dothome.co.kr/images/Shutter.png
news:RANDOM_WEATHER,The Weather,날씨
news:RANDOM_SPORTS,Sports,스포츠
news:RANDOM_ENTERTAINMENT,Entertainment,예능
news:RANDOM_POLITICS,Politics,정치
news:FIRST_DAY,Grestin Border Checkpoint Opens At Last!,그레스틴의 국경 검문소 마침내 개방되다!
news:FIRST_DAY,After 6 Long Years. Can the Ministry of Admission Keep Us Safe?,6년 만에 개방된 국경. 안전을 보장할 수 있는가?
news:FIRST_DAY,Families To Reunite,가족들을 다시 만나다
news:CHECKPOINT_SUCCESS,Grestin Checkpoint a Success!,성공적이었던 그레스틴 검문소!
news:CHECKPOINT_SUCCESS,"Entry Restrictions To Relax, Admit Foreigners","입국 제한을 완화하고, 외국인을 받아들인다"
news:CHECKPOINT_SUCCESS,Analysts Upbeat,낙관적인 분석
news:CHECKPOINT_SUCCESS,Increased Trade And Cooperation Predicted,무역과 협력이 증가될거라 예측돼
news:FIRST_TERRORISTS,Terrorists Strike At Grestin!,그레스틴에서 테러리스트의 공격!
news:FIRST_TERRORISTS,Kolechian Agitators Suspected.,콜레치아 출신 선동가 붙잡히다
news:FIRST_TERRORISTS,Checkpoint Lockdown,검문소 봉쇄
news:FIRST_TERRORISTS,More Guards - More Scrutiny,"많아진 경비원, 어려워진 입국 심사"
news:BLACKMARKET_EXPLODES,Blackmarket Activity Explodes,암시장 규모 증가돼
news:BLACKMARKET_EXPLODES,Government Blames Lax Immigration Controls,정부의 느슨한 이민 정책 탓으로 보여
news:BLACKMARKET_EXPLODES,Checkpoint Expansion Postponed,검문소 확장이 연기
news:WORKPERMIT_FIRST,"Jobs Few, Becoming Fewer","취업난, 일자리 더욱 줄어들어"
news:WORKPERMIT_FIRST,Immigrants Taking Jobs From Locals,이민자들의 일자리 쟁탈 심각해
news:KOLECHIA_COMPLAINS_SEARCH,Kolechian Leader Files Complaint,콜레치아 지도자가 불만을 표하다
news:KOLECHIA_COMPLAINS_SEARCH,Claims Unprovoked Border Searches Violate Rights,이유없는 몸수색은 인권 침해라고 주장해
news:AFTER_SUICIDE_BOMBER,Another Attack At Grestin Checkpoint!,"그레스틴 검문소, 또다시 공격받다!"
news:AFTER_SUICIDE_BOMBER,Suicide Bomber Slips Through Security,허술한 보안 틈새로 자폭해
news:GENERIC_BOMBER,Grestin Suffers Another Border Attack,"그레스틴, 또다시 공격을 받다"
news:GENERIC_BOMBER,Suicide Bombings Becoming Routine,자폭 테러가 일상화 되어가나
news:PIMP_BUSTED,Human Trafficking Ring Shut Down!,매춘업소가 문을 닫다!
news:PIMP_BUSTED,Grestin Checkpoint Officer Nabs Mastermind,그레스틴 검문관이 주동자를 붙잡아
news:PIMP_ESCAPED,Dancers At Grestin Club Found Dead!,매춘업소의 무희가 죽은채로 발견!
news:PIMP_ESCAPED,Newly Immigrated Girls Victims Of Human Trafficking,새로운 이민자들은 매춘업소의 표적
news:KILLERATHLETE,Republian Track Star Wanted For Murder!,리퍼블리아 유명 육상선수가 살인죄로 수배!
news:KILLERATHLETE,Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia,Vince Lestrade의 행방은 묘연 - 리퍼블리아에서 도망친걸로 추정
news:KILLERATHLETE,Vince Lestrade: Profile,Vince Lestrade: 인물 정보
news:KILLERATHLETE,Girlfriend Killed In Jealous Rage?,질투에 못 이겨 여자친구를 살해했나?
news:KILLERATHLETE_DETAINED,Vince Lestrade Apprehended In Grestin!,Vince Lestrade가 그레스틴에서 체포되다!
news:KILLERATHLETE_DETAINED,Track Champ Looks Quite Guilty Now,유명 선수에서 흉악한 범죄자로
news:KILLERATHLETE_APPROVED,Vince Lestrade Spotted in Arstotzka,Vince Lestrade가 아스토츠카에서 발견
news:KILLERATHLETE_DENIED,Vince Lestrade Apprehended In Kolechia!,Vince Lestrade가 콜레치아에서 체포되다!
news:DIPLOMAT_FIRST,Kolechia Sends Top-Level Diplomat,콜레치아가 최고위 외교관을 보내
news:DIPLOMAT_FIRST,Normalizing Trade Top Issue,무역의 정상화가 본안에 올라
news:BUSTED_SPY,Top-level Kolechian Exposed as Arstotzkan Spy!,콜레치아 최고위 외교관은 아스토츠카 첩자로 밝혀져!
news:BUSTED_SPY,"Missing From Post, Presumed Dead","국경에서부터 행방 묘연, 사망으로 추정"
news:BUSTED_SPY_GAVEREALDOCS,Kolechia Cleans House - Eliminates Arstotzkan Spies,"콜레치아, 의회 숙청 - 아스토츠카 첩자 제거"
news:BUSTED_SPY_GAVEREALDOCS,Heroic Agents Compromised,요원들을 발본색원하기로
news:BUSTED_SPY_GAVEFAKEDOCS,Kolechia Cleans House - Attacks Its Own!,"콜레치아, 의회 숙청 - 초가삼간을 불태우다!"
news:BUSTED_SPY_GAVEFAKEDOCS,Round Of Disappearances Blamed On Faulty Evidence,"연쇄 실종 사건, 불확실한 증거로 오리무중"
news:FORGERY_NEWS,Theft At Ministry Of Admission!,국경 관리성에서 절도사건 발생!
news:FORGERY_NEWS,Limited Effects - Few Items Stolen,일부 물품들이 도난당했으나 문제 없어
news:SECRET_SOCIETY,The History of Arstotzka,아스토츠카의 역사
news:SECRET_SOCIETY,In Pictures and Words - Mostly Words,그림과 언어로 본다 - 대부분 언어지만
